1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Belawan,Kel. Belawan Bahagia,20415,20415,20411,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Belawan,Kel. Belawan Sicanang,20416,20416,20411,
1,SUMATERA UTARA,KAB. DELI SERDANG,Kec. Lubuk Pakam,Kel. Lubuk Pakam I,II,20511,20511,20500,
1,SUMATERA UTARA,KAB. DELI SERDANG,Kec. Lubuk Pakam,Ds. Bakaran Batu,20512,20512,20500,
1,SUMATERA UTARA,KAB. DELI SERDANG,Kec. Lubuk Pakam,Kel. Paluh Kemiri,20513,20513,20500,
1,SUMATERA UTARA,KAB. DELI SERDANG,Kec. Lubuk Pakam,Kel. Petapahan,20514,20514,20500,
1,SUMATERA UTARA,KAB. DELI SERDANG,Kec. Lubuk Pakam,Ds. Pagar Merbau III,20515,20515,20500,
1,SUMATERA UTARA,KAB. DELI SERDANG,Kec. Lubuk Pakam,Kel. Lubuk Pakam III,20516,20516,20500,
1,SUMATERA UTARA,KAB. DELI SERDANG,Kec. Lubuk Pakam,Kel. Cemara,20517,20517,20500,
1,SUMATERA UTARA,KAB. DELI SERDANG,Kec. Lubuk Pakam,Ds. Pagar Jati,20518,20518,20500,
1,SUMATERA UTARA,KAB. DELI SERDANG,Kec. Pagar Merbau,Ds. Tanjung Mulia,20551,20551,20552,
1,SUMATERA UTARA,KAB. DELI SERDANG,Kec. Pagar Merbau,Ds. Tanjung Mulia,20551,20551,20500,
1,SUMATERA UTARA,KAB. DELI SERDANG,Kec. Beringin,Seluruh Kelurahan/Desa,20552,20552,20552,
1,SUMATERA UTARA,KAB. DELI SERDANG,Kec. Pantai Labu,Seluruh Kelurahan/Desa,20553,20553,20552,
1,SUMATERA UTARA,KAB. DELI SERDANG,Kec. Bangun Purba,Seluruh Kelurahan/Desa,20581,20581,20581,
1,SUMATERA UTARA,KAB. DELI SERDANG,Kec. Sinembah Tanjung Muda Hulu,Seluruh Kelurahan/Desa,20582,20582,20581,
1,SUMATERA UTARA,KAB. DELI SERDANG,Kec. Gunung Meriah,Seluruh Kelurahan/Desa,20583,20583,20581,
1,SUMATERA UTARA,KAB. DELI SERDANG,Kec. Galang,Seluruh Kelurahan/Desa,20585,20585,20585,
1,SUMATERA UTARA,KOTA TEBING TINGGI,Kec. Rambutan,Kel. Karya Jaya,20611,20611,20600,
1,SUMATERA UTARA,KOTA TEBING TINGGI,Kec. Bajenis,Kel. Bulian,20612,20612,20600,
1,SUMATERA UTARA,KOTA TEBING TINGGI,Kec. Bajenis,Kel. Bandar Sakti,20613,20613,20600,
1,SUMATERA UTARA,KOTA TEBING TINGGI,Kec. Rambutan,Kel. Rantau Laban,20614,20614,20600,
1,SUMATERA UTARA,KOTA TEBING TINGGI,Kec. Tebing Tinggi Kota,Kel. Badak Bejuang,20615,20615,20600,
1,SUMATERA UTARA,KOTA TEBING TINGGI,Kec. Rambutan,Kel. Sri Padang,20616,20616,20600,
1,SUMATERA UTARA,KOTA TEBING TINGGI,Kec. Rambutan,Kel. Tanjung Marulak,20617,20617,20600,
1,SUMATERA UTARA,KOTA TEBING TINGGI,Kec. Rambutan,Kel. Lalang (Ladang),20618,20618,20600,
1,SUMATERA UTARA,KOTA TEBING TINGGI,Kec. Bajenis,Kel. Durian,20621,20621,20600,
1,SUMATERA UTARA,KOTA TEBING TINGGI,Kec. Padang Hulu,Kel. Lubuk Baru,20622,20622,20600,
1,SUMATERA UTARA,KOTA TEBING TINGGI,Kec. Padang Hulu,Kel. Pabatu,20623,20623,20600,
1,SUMATERA UTARA,KOTA TEBING TINGGI,Kec. Padang Hulu,Kel. Persiakan,20624,20624,20600,
1,SUMATERA UTARA,KOTA TEBING TINGGI,Kec. Padang Hulu,Kel. Bandar Sono,20625,20625,20600,
